Tiempo,Posición X,Posición Y,Posición Z,Objetivo X,Objetivo Y,Objetivo Z
1.76,2.0,18.0,1.0149979196831151,3.0,10.0,6.0
1.792,2.0,18.0,1.0149982234334036,3.0,10.0,6.0
1.824,2.0,18.0,1.0149985330837465,3.0,10.0,6.0
1.856,2.0,18.0,1.0151123425664095,3.0,10.0,6.0
1.8880000000000001,2.0,18.0,1.0156929800503525,3.0,10.0,6.0
1.92,2.0,18.0,1.0170998135022955,3.0,10.0,6.0
1.952,1.9999999999999998,18.0,1.0196982506867185,3.0,10.0,6.0
1.984,1.9999999999999996,18.0,1.0238597391658615,3.0,10.0,6.0
2.016,1.9999999999999991,18.0,1.0299617662997245,3.0,10.0,6.0
2.048,1.9999999999999982,18.0,1.0383878592460676,3.0,10.0,6.0
2.08,1.9999999999999971,18.0,1.0495275849604107,3.0,10.0,6.0
2.112,1.9999999999999956,18.0,1.0637765501960337,3.0,10.0,6.0
2.144,1.9999999999999938,18.0,1.0815364015039768,3.0,10.0,6.0
2.176,1.9999999999999913,18.0,1.1028449590564164,3.0,10.0,6.0
2.208,1.9999999999999885,18.0,1.1273801501186207,3.0,10.0,6.0
2.24,1.9999999999999851,18.0,1.1548312048621487,3.0,10.0,6.0
2.2720000000000002,1.9999999999999816,18.0,1.1848989368220217,3.0,10.0,6.0
2.3040000000000003,1.999999999999978,18.0,1.2172959404462862,3.0,10.0,6.0
2.336,1.9999999999999747,18.000000000000004,1.2517467154719855,3.0,10.0,6.0
2.368,1.9999999999999718,18.000000000000007,1.2879877270212847,3.0,10.0,6.0
2.4,1.9999999999999694,18.00000000000001,1.3257674095086263,3.0,10.0,6.0
2.432,1.9999999999999671,18.000000000000014,1.3648461216886,3.0,10.0,6.0
2.464,1.9999999999999651,18.000000000000014,1.4049960594572581,3.0,10.0,6.0
2.496,1.9999999999999636,18.000000000000014,1.4460011323481798,3.0,10.0,6.0
2.528,1.9999999999999623,18.000000000000014,1.487656809038948,3.0,10.0,6.0
2.56,1.999999999999961,18.000000000000014,1.5297699366033488,3.0,10.0,6.0
2.592,1.9999999999999596,18.000000000000014,1.5721585377084897,3.0,10.0,6.0
2.624,1.9999999999999585,18.000000000000014,1.6146515894626994,3.0,10.0,6.0
2.656,1.9999999999999574,18.000000000000018,1.6570887871678082,3.0,10.0,6.0
2.688,1.9999999999999563,18.00000000000002,1.6993202958163058,3.0,10.0,6.0
2.72,1.999999999999955,18.000000000000025,1.7412064917979706,3.0,10.0,6.0
2.7520000000000002,1.9999999999999536,18.00000000000003,1.7826176969398215,3.0,10.0,6.0
2.7840000000000003,1.9999999999999523,18.000000000000032,1.823433906695672,3.0,10.0,6.0
2.816,1.9999999999999512,18.000000000000036,1.8635445140251794,3.0,10.0,6.0
2.848,1.99999999999995,18.00000000000004,1.9028480302551887,3.0,10.0,6.0
2.88,1.9999999999999492,18.00000000000004,1.941251803996513,3.0,10.0,6.0
2.912,1.9999999999999483,18.00000000000004,1.9786717389953392,3.0,10.0,6.0
2.944,1.9999999999999476,18.00000000000004,2.015032011628489,3.0,10.0,6.0
2.976,1.9999999999999472,18.00000000000004,2.050264788604234,3.0,10.0,6.0
3.008,1.999999999999947,18.00000000000004,2.0843099453036973,3.0,10.0,6.0
3.04,1.999999999999947,18.000000000000043,2.117114785090653,3.0,10.0,6.0
3.072,1.9999999999999472,18.000000000000046,2.148633759828293,3.0,10.0,6.0
3.104,1.9999999999999476,18.00000000000005,2.1788281917690004,3.0,10.0,6.0
3.136,1.9999999999999483,18.000000000000053,2.207665996925948,3.0,10.0,6.0
3.168,1.999999999999949,18.000000000000057,2.235121409992223,3.0,10.0,6.0
3.2,1.9999999999999496,18.000000000000064,2.2611747108428917,3.0,10.0,6.0
3.232,1.99999999999995,18.00000000000007,2.2858119526367138,3.0,10.0,6.0
3.2640000000000002,1.9999999999999505,18.000000000000078,2.3090246915259542,3.0,10.0,6.0
