Tiempo,Posición X,Posición Y,Posición Z,Objetivo X,Objetivo Y,Objetivo Z
77.21600000000001,6.312896237931567,13.563511657468073,3.4959144830860356,7.0,13.0,3.5
77.248,6.312502213921593,13.563907024429334,3.4956078419960837,7.0,13.0,3.5
77.28,6.312838718667386,13.563569476543735,3.495284175135888,7.0,13.0,3.5
77.312,6.314036022625138,13.562368319031702,3.494926423325301,7.0,13.0,3.5
77.34400000000001,6.316163665056508,13.560233786262426,3.4945268208417213,7.0,13.0,3.5
77.376,6.31923123703531,13.557156256195997,3.494088875732575,7.0,13.0,3.5
77.408,6.323195054348483,13.553179555728576,3.493625956569106,7.0,13.0,3.5
77.44,6.327968965962699,13.548390116990426,3.4931575864446875,7.0,13.0,3.5
77.47200000000001,6.3334375362135225,13.542903752184722,3.4927050122614443,7.0,13.0,3.5
77.504,6.339469917448015,13.536851735723909,3.492287432236447,7.0,13.0,3.5
77.536,6.345932892572078,13.530367719168625,3.4919196863253394,7.0,13.0,3.5
77.568,6.352701860109059,13.523576710362986,3.4916115488883097,7.0,13.0,3.5
77.60000000000001,6.3596689540297815,13.51658692713831,3.4913682571249396,7.0,13.0,3.5
77.632,6.366747967545775,13.509484857471323,3.4911916831973926,7.0,13.0,3.5
77.664,6.37387619042357,13.502333416181584,3.491081596878519,7.0,13.0,3.5
77.696,6.3810136021912465,13.495172754354915,3.491036663169194,7.0,13.0,3.5
77.72800000000001,6.388140062017724,13.488023078623836,3.491055049987752,7.0,13.0,3.5
77.76,6.395251210044352,13.48088876319578,3.491134694421464,7.0,13.0,3.5
77.792,6.4023537721411525,13.473763060401419,3.4912733574773385,7.0,13.0,3.5
77.824,6.409460870343365,13.466632805544537,3.4914685982605076,7.0,13.0,3.5
77.856,6.416587810558917,13.459482642925668,3.491717753756399,7.0,13.0,3.5
77.888,6.42374866928449,13.45229845025308,3.492017956028228,7.0,13.0,3.5
77.92,6.430953850555337,13.445069789657675,3.4923661789020186,7.0,13.0,3.5
